Day,Meal Name,Energy (kcal),Fat (g),Saturated Fat (g),Carbohydrates (g),Sugars (g),Salt (g),Vitamin A (µg),Vitamin C (mg),Calcium (mg),Iron (mg),Image URL
0,Kakao,300.0,11.2,2.3,58.3,0.0,0.20925,0.0,0.0,0.0,0.0,https://images.openfoodfacts.org/images/products/868/205/450/1065/front_fr.3.200.jpg
1,amigo tropical,37.0,0.0,0.0,8.8,8.8,0.0,0.0,0.0,0.0,0.0,https://images.openfoodfacts.org/images/products/328/909/200/3008/front_fr.3.200.jpg
2,Boisson d’avoine,28.0,0.5,0.1,7.0,2.4,0.07,0.0,0.0,0.0,0.0,https://images.openfoodfacts.org/images/products/503/886/293/2417/front_fr.20.200.jpg
3,Arnold Pamler Half & Half Iced Tea Lemonade,22.535211267606,0.0,0.0,5.6338028169014,5.3521126760563,0.0,0.0,0.0062,0.0,0.0,https://images.openfoodfacts.org/images/products/061/300/871/9302/front_en.20.200.jpg
4,Confiture allegee d'abricot et d'orange,164.0,0.5,0.1,40.0,38.0,0.06,0.0,0.0,0.0,0.0,https://images.openfoodfacts.org/images/products/323/475/003/9042/front_fr.4.200.jpg
5,Crunchy filets de poulet nature,0.0,8.7,1.2,15.0,1.0,1.0,0.0,0.0,0.0,0.0,https://images.openfoodfacts.org/images/products/356/470/078/9445/front_fr.4.200.jpg
6,Bio Quetschies, Apfel, Birne & Zimt, Ab Dem 1. Jahr,52.0,0.2,0.0,11.3,9.5,0.0,0.0,0.0,0.0,0.0,https://images.openfoodfacts.org/images/products/426/024/914/0707/front_de.18.200.jpg
