Day,Meal Name,Energy (kcal),Fat (g),Saturated Fat (g),Carbohydrates (g),Sugars (g),Salt (g),Vitamin A (µg),Vitamin C (mg),Calcium (mg),Iron (mg),Image URL
0,Crema al pistacchio,653.0,40.3,5.26,40.6,38.3,0.56,0.0,0.0,0.0,0.0,https://images.openfoodfacts.org/images/products/805/220/454/0129/front_fr.3.200.jpg
1,Macadamia schoko-creme,630.0,50.0,15.0,36.0,32.0,0.15,0.0,0.0,0.0,0.0,https://images.openfoodfacts.org/images/products/400/324/720/1212/front_fr.4.200.jpg
2,déclassé bouchée chocolat,629.0,30.0,14.2,57.0,47.0,0.01,0.0,0.0,0.0,0.0,https://images.openfoodfacts.org/images/products/334/300/142/1922/front_fr.4.200.jpg
3,Noisettes chocolat fabrique givrée,626.0,51.0,18.0,30.0,30.0,0.3,0.0,0.0,0.0,0.0,https://images.openfoodfacts.org/images/products/376/028/099/4341/front_fr.3.200.jpg
4,Koughelof raisins,626.0,22.0,11.0,68.0,23.0,1.3,0.0,0.0,0.0,0.0,https://images.openfoodfacts.org/images/products/025/714/402/9521/front_fr.5.200.jpg
5,Pâte à tartiner - Chocolat au lait et noisettes,640.0,50.0,9.3,36.0,36.0,0.05,0.0,0.0,0.0,0.0,https://images.openfoodfacts.org/images/products/335/003/353/1529/front_fr.22.200.jpg
6,Dairy milk with crunchie,697.0,24.2,15.3,63.3,58.0,1.2,0.0,0.0,0.0,0.0,0.0
